0	0	0
0	0	4
0	0	8
0	0	12
0	0	16
0	1	0
0	1	4
0	1	8
0	1	12
0	1	16
0	2	0
0	2	4
0	2	8
0	2	12
0	2	16
0	3	0
0	3	4
0	3	8
0	3	12
0	3	16
1	4	0
1	4	4
1	4	8
1	4	12
1	4	16
1	5	0
1	5	4
1	5	8
1	5	12
1	5	16
1	6	0
1	6	4
1	6	8
1	6	12
1	6	16
1	7	0
1	7	4
1	7	8
1	7	12
1	7	16
2	8	0
2	8	4
2	8	8
2	8	12
2	8	16
2	9	0
2	9	4
2	9	8
2	9	12
2	9	16
2	10	0
2	10	4
2	10	8
2	10	12
2	10	16
2	11	0
2	11	4
2	11	8
2	11	12
2	11	16
3	12	0
3	12	4
3	12	8
3	12	12
3	12	16
3	13	0
3	13	4
3	13	8
3	13	12
3	13	16
3	14	0
3	14	4
3	14	8
3	14	12
3	14	16
3	15	0
3	15	4
3	15	8
3	15	12
3	15	16
4	16	0
4	16	4
4	16	8
4	16	12
4	16	16
4	17	0
4	17	4
4	17	8
4	17	12
4	17	16
4	18	0
4	18	4
4	18	8
4	18	12
4	18	16
4	19	0
4	19	4
4	19	8
4	19	12
4	19	16
